"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHF3",1392.77705887172,0.123363708931501,0.287130923044455,0.429642713586795,0.667455561006448,0.924064131208426
"RNF128",1412.90284419723,-0.177480074383242,0.400875629651843,-0.44273101494691,0.657960306171934,0.921438072254438
"PRPF31",1403.76523538232,-0.10249861259011,0.23557282226365,-0.435103725485763,0.663487139387205,0.923131949989145
"ZNF24",1371.22735491115,-0.134284270805498,0.462011924533343,-0.290651092915259,0.771318179605927,0.950834677321686
"CRYZL2P-SEC16B",1373.01624112793,0.285997466769163,0.499121853307003,0.573001291917486,0.566643819238235,0.893097347795113
"ARL5B",1337.81860135899,0.190825724992305,0.49176246053763,0.388044513978722,0.697983092168409,0.931989317661667
"TMED4",1411.24748912785,0.209609459508559,0.16774168119922,1.24959674906092,0.211446891292378,0.682713787253494
"PEF1",1367.36293107902,0.420038910724544,0.285135119944695,1.47312232462285,0.140718054753498,0.602609614594978
"GPT",1477.68715191697,-1.02699548354817,0.548894517494491,-1.87102521671385,0.0613415858848273,0.465853429447116
"CAMK1D",1436.64188457938,0.751853942030436,0.395684384029858,1.90013549277118,0.057415340983436,0.457886264739303
"WDR81",1459.62106583908,-0.427467333219116,0.292474606639904,-1.46155366488078,0.143863559526249,0.606051603285186
"ARHGAP21",1374.69251859794,0.175893679679643,0.241625620916108,0.727959555831677,0.46663834442035,0.854269253497668
"SECISBP2",1403.03329744511,0.0888124113863875,0.1536739888989,0.577927416492167,0.563313124380547,0.891816774411262
"CD5L",1316.33145104716,1.36611880534888,0.957278149345288,1.42708658531819,0.153554938669439,0.617495446139724
"WNK1",1425.26815323996,0.17908861823085,0.372557821592956,0.480700196992552,0.630729591117639,0.912574480733415
"TSPYL1",1395.00507710117,0.450596894994668,0.226466845568628,1.98968150884638,0.0466260309066578,0.428827915803897
"CORO1C",1316.02141690472,0.892415292530542,0.35375721601874,2.52267728295122,0.0116465228186729,0.264751242533172
"CYP2J2",1381.31508062996,-0.0079908687719357,0.356228716373494,-0.0224318489909655,0.982103474918093,0.997030779909262
"IP6K3",1377.66060759374,2.15742693173802,0.578360358937592,3.73024689261392,0.0001912922277582,0.0506913049011355
"EPB41L4B",1374.08897430783,0.00949588015596764,0.381839328243149,0.0248687849930451,0.980159625497186,0.99695461139355
"ETV6",1365.90286115753,-0.00366091460011122,0.378344407494714,-0.00967614302627791,0.992279675344164,0.998595902753327
"GPRC5C",1454.28261854018,-0.664305026818804,0.453352057299778,-1.46531821378619,0.142834119501968,0.605162875436683
"SEPHS1",1391.71632798107,0.399871179372788,0.253623184039114,1.57663496295796,0.11487954305518,0.570061235544524
"NUDT5",1406.00034824163,0.253361792256063,0.260335047640992,0.973214304227893,0.330446803000985,0.774521518394056
"PRKAR2A",1375.69694350522,0.907379161919601,0.520457900661843,1.74342470498714,0.0812594560146127,0.503109030957824
"PCGF5",1343.02671560182,0.55078415539329,0.291282683739808,1.89089220245336,0.0586387355445807,0.460430139807419
"ARFGAP1",1438.57510829448,-1.04816231828649,0.338576462013611,-3.09579204665549,0.00196287969106977,0.137139618727407
"CTIF",1443.47683336533,-0.106163048803114,0.311748596150264,-0.34054058338708,0.733449465888972,0.941706523240385
"PPP4C",1382.99118142572,0.0617475647367162,0.212490637724154,0.290589577960015,0.77136523186492,0.950834677321686
"KNDC1",1453.1122939397,0.164654716954192,0.702200622874777,0.234483866277564,0.814609356940947,0.961305094707726
"NSUN6",1391.49311404232,-0.429419972136295,0.223187188498563,-1.9240350444177,0.0543501909472805,0.45130476935064
"KDM3B",1383.92286544753,0.0260217031603511,0.152587085543238,0.170536733614834,0.864588048200864,0.970628006190138
"OIT3",1398.48148261279,0.525994169827631,0.572963738338835,0.918023488454294,0.35860656898837,0.792959184751443
"GALNT1",1364.54458056023,0.583848408991233,0.274140085222845,2.1297447562863,0.0331926917775943,0.380846820121474
"AKT1S1",1455.65386590286,-0.543113249194897,0.307399514510084,-1.76679930695557,0.0772618448364921,0.494387468682558
"RRN3",1343.4311886637,0.400394785241144,0.221721853026847,1.80584267980415,0.0709429166864325,0.482160411311938
"CAMKK2",1415.72374015876,-0.292160194179813,0.283155650008019,-1.03180068690679,0.302165497430186,0.755152441210189
"HSPG2",1445.71502704842,-0.723598639723382,0.315742256139108,-2.29173835827847,0.0219207455616033,0.335128436297875
"LAMC1",1367.42008671213,0.522543778101314,0.259704738044717,2.01206871324519,0.0442126941779201,0.424859243760674
"ADNP",1419.18763508668,-0.23724296517451,0.268557642915024,-0.883396810455241,0.37702191348083,0.804804312053352
"LAMB1",1405.46765195382,-0.432641022559403,0.356547555281149,-1.213417442221,0.224970260981256,0.695156595550542
"NOL6",1315.06043381448,0.763526724694003,0.371348811154624,2.05609039738135,0.0397738036650222,0.406424859041025
"BLNK",1429.09775385023,-0.719968233134171,0.344346760395424,-2.09082330935075,0.0365439058010382,0.394522124837781
"RBM28",1365.64037154165,-0.103585782623582,0.228220130105573,-0.453885389407431,0.649911320079068,0.919056424786019
"SNX4",1364.11403789673,0.296174520090323,0.284824021249609,1.0398509184405,0.29840916843084,0.752979823999268
"SLC10A1",1392.04870182556,-0.566821452423753,1.09184786070972,-0.519139591531835,0.603663401012844,0.903785604977389
"ZBTB7A",1405.51354750648,-0.402633943225237,0.237753166145029,-1.6934956103997,0.0903611697025205,0.52375808613586
"HBS1L",1372.21012669847,0.362755639745776,0.199129117645119,1.82171067715103,0.0684988970259517,0.477961296620056
