"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"VIPR1-AS1",32.0383645998233,-0.339701481551552,0.975884686361006,-0.348095923933667,0.727768145370639,0.904682508177517
"ENHO",30.3172697391982,1.19911224297281,1.10565213178714,1.08452939988874,0.27813013881643,0.625866838251403
"AC073264.3",31.8231434647604,1.02220923875042,1.12742225539881,0.906678251077123,0.364576967843875,0.701791612949236
"AC005225.2",31.0542160726658,-0.143037544614361,0.563119472881095,-0.254009231615693,0.799488426157566,0.931789584251647
"TRIP13",28.2063555591617,-0.636327075986577,0.921394514856734,-0.690613049813433,0.48980874436319,0.783769208755457
"ETV4",31.391722136226,-0.681438461311792,0.628492691039494,-1.08424245982038,0.278257310192978,0.625866838251403
"GNB1L",32.1792871315449,0.90384607886121,0.432836319722111,2.08819370666837,0.036780364783467,0.26529432253432
"AL031058.1",31.3695975710511,-0.265522770953585,0.474541134959354,-0.5595358366063,0.575796080778973,0.831068501319976
"HSP90AA2P",29.874873410537,1.5882345870693,0.736381788747461,2.15680861658839,0.031020579472907,0.244427129574143
"AL954705.1",30.7378775517493,0.421662245004041,0.557128097703508,0.75684972045413,0.449139901035276,0.759293646686055
"AC025062.3",31.3072434018303,0.502728596493662,0.628752848511998,0.799564721946654,0.423963033823826,0.742357067391468
"SERBP1P1",30.128449157489,1.10011805612773,0.562388502334466,1.95615317802756,0.050447112297146,0.306249190519787
"AC080112.4",30.736855050541,0.620074422740334,0.488708724427629,1.26880162302517,0.204511826127775,0.559412824479452
"DUOX1",30.8430730166479,0.546270421889542,0.448582321016977,1.21777073303089,0.223311109030625,0.577611583462486
"USP51",29.7720455742646,-0.781438724035881,0.567598829245358,-1.37674477777699,0.168591169403204,0.516018354376762
"AC084117.1",31.6012226098243,0.102457706257707,0.766471546699256,0.13367450716068,0.893659964552416,0.966808361532122
"B4GALNT1",31.0465359365567,0.405946058789072,0.618213162693676,0.6566441533213,0.511409751408902,0.794689474833555
"AL353898.3",30.8246510425232,0.261577101030646,0.447402199642961,0.584657610622818,0.558777961979984,0.820723222371473
"MTND5P1",31.2612652074805,-1.17579277195271,0.959892229764545,-1.22492164796576,0.220604743105632,0.575664779630161
"SYCE2",31.1751556032852,-0.980519001494327,0.522514021060831,-1.87654103425518,0.0605810255911536,0.33017550135852
