"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATF1",409.260086970922,-0.0498310242119901,0.346012447604692,-0.144015120140766,0.885488529957268,0.996417816814076
"PANK2",413.078821263449,-0.0253521087000283,0.215881840346564,-0.117435114780055,0.906515259005054,0.996417816814076
"ARPIN",411.834641206307,-0.249782590962868,0.380917372038746,-0.655739562693037,0.511991708807975,0.99040814367672
"STRBP",425.8948185695,0.496849815729621,0.289090256292096,1.71866676553638,0.0856750668996688,0.831509030120298
"DSC2",417.11026216019,-0.336785020409063,0.365821050777256,-0.920627776049245,0.357244795403968,0.973009812253607
"ANKRD27",420.479872957614,0.183760705682761,0.245271517413471,0.749213392654084,0.453728598311713,0.986916086744648
"ABTB2",423.308958249042,0.227002176283438,0.382046999745212,0.594173430061814,0.552396121864318,0.992827077445386
"C16orf87",412.002152702714,-0.416659443882471,0.318081885208708,-1.30991252019612,0.190225431137153,0.924819651896038
"TBC1D22A",420.375201763171,0.359832630596865,0.238752237390087,1.50713825566773,0.131775222749116,0.88028273421471
"NBPF20",416.709514364069,-0.198560990327621,0.472458823737247,-0.420271524948911,0.674287109151759,0.996417816814076
"ABHD18",420.961361591197,0.173481060269512,0.323922942898071,0.535562744390417,0.592260782693717,0.996417816814076
"RPS6KA1",420.091596437115,-0.359208802647308,0.308257714791291,-1.16528730802574,0.243902714860822,0.940010458722372
"RBKS",409.403725913578,-0.0387693932828238,0.281892578389054,-0.137532507965911,0.890609899234334,0.996417816814076
"ZNF800",405.496494675585,-0.581152859317849,0.319526034925616,-1.81879657929326,0.0689424704741851,0.817356473489391
"PIEZO2",414.006659582586,0.0820530065898663,0.365507033048536,0.224490910354029,0.822375338930196,0.996417816814076
"MPP6",402.710172670501,-0.342569532663962,0.345764644293417,-0.990759287618942,0.321803133373499,0.962460017421605
"AC135983.3",429.457876094918,0.0472850466385152,0.487891649803296,0.0969171057909666,0.9227922242997,0.997536037550879
"LINC00174",421.060636606777,-0.2828566128444,0.458539167625115,-0.616864671145505,0.537323991096173,0.99040814367672
"FYN",420.700190684158,0.125678378665177,0.363589481746065,0.345660105626907,0.729598169242802,0.996417816814076
"WASHC3",413.21883496704,-0.203173512330723,0.287714568720237,-0.706163449541138,0.480086497440068,0.988133333204232
"MRTFA",422.754126810353,0.594774155770881,0.282048336242172,2.10876675854665,0.0349647192245477,0.735702423150149
"PHC1",420.576539512252,0.111772099353941,0.32824269572609,0.340516638479023,0.733467494941281,0.996417816814076
"NUP35",401.208164073113,-0.489331179270072,0.290127890344195,-1.68660509918419,0.0916793108173412,0.837861679767826
"TRIM65",407.641231784329,0.469147821092763,0.549630526453884,0.85356944076527,0.393343596750871,0.97940711425448
"NKAP",411.424918934234,0.226611141819281,0.25786552476376,0.878795806561918,0.379512000394603,0.976210502006435
"NUP50-DT",421.224231955579,0.255967644268081,0.391304597394213,0.654139118151508,0.513022181112995,0.99040814367672
"TMEM209",397.000506956505,-0.293304889438481,0.37203345857186,-0.78838309480121,0.430472656124214,0.983360305723947
"IQCE",407.738887015398,0.313852543382149,0.420223973746769,0.746869676624588,0.455142231605643,0.987020500911481
"IQCB1",409.426519505684,-0.279971116820374,0.336522372052871,-0.831953950379225,0.405434937716911,0.980145064075878
"PLEKHO1",413.297787919953,0.226801537046763,0.322219435016823,0.703872927574716,0.481511912353754,0.988133333204232
"WIPF2",416.725857659482,0.358690863484793,0.649002834622923,0.552679964322799,0.580482575218788,0.994966071130088
"NFU1",409.178078633355,-0.212048273509676,0.239030460745385,-0.887118205974384,0.375015263145462,0.97554009933417
"ZCCHC7",404.153803615343,-0.493342740584231,0.342610847448463,-1.43995073202824,0.149881338454256,0.896228556520916
"FBXO44",425.23443255054,0.482588751557422,0.289447831352371,1.66727368210931,0.0954599973037654,0.844082020949848
"DGKE",424.213151443361,-0.357859426440194,0.481237119043454,-0.743623906550485,0.457104036070372,0.987231101715076
"TRIM68",419.397881068553,0.410918604682752,0.335175929611615,1.22597886178433,0.220206629756842,0.935752925520538
"PKDCC",435.183242476887,0.994665484881094,0.400511083955478,2.48349053179179,0.0130101793007733,0.619323779130176
"C1orf131",406.983254729739,-0.150056625975407,0.18393820350362,-0.815799127735059,0.414615032222399,0.980145064075878
"DUSP5",390.016591403252,-0.303365028055973,0.477367458123517,-0.635495827990602,0.525105086846006,0.99040814367672
"GRPEL2",416.452304439943,-0.137478729496346,0.437260833011947,-0.314408973127923,0.753210441886023,0.996417816814076
"KLHL15",400.557589146546,-0.399038983682686,0.495384128836009,-0.805514267524673,0.420522976465102,0.980145064075878
"ASB7",409.962939357214,-0.224006214511652,0.297620466652474,-0.752657292125073,0.451655880115465,0.98608423024282
"NOL3",436.540347948209,0.0485000545890992,0.576954130252747,0.0840622365730404,0.933006949181796,0.997536037550879
"NCKAP1L",399.473252569706,-0.165728947507478,0.473568978777702,-0.349957355600508,0.726370701686109,0.996417816814076
"LILRB2",392.634640064428,-0.419578349714066,0.640567748528062,-0.655010107327758,0.512461246571194,0.99040814367672
"IFIT3",409.236188273178,-0.100673386512323,0.639476007753251,-0.15743106119967,0.874905135370236,0.996417816814076
"GPR155",414.629770226593,0.0681666887610678,0.428550287183953,0.159063453694076,0.873618881305235,0.996417816814076
"KCNK5",415.652769331511,0.187444487060037,0.506515107928898,0.370066922241438,0.71133262747913,0.996417816814076
"CREM",376.597157668898,-0.347538372665244,0.572043603832257,-0.607538254666255,0.543493763323628,0.990871701372279
"CAAP1",412.45185004346,-0.064831093549215,0.333038687734264,-0.194665352515876,0.845654937651043,0.996417816814076
"ATM",413.386256544789,-0.0200200915772652,0.338252970487091,-0.0591867428346181,0.95280336881667,0.998310980283908
"ARL2BP",400.941218087786,-0.277922827747707,0.461839735969789,-0.601773312476273,0.547325041926987,0.991693807529749
"PDCL3",389.047953347342,-0.645785234397689,0.360339050527283,-1.79216000445334,0.0731073393064589,0.824207437078301
"HMG20A",406.070419058072,-0.2857781951182,0.340448631181493,-0.839416490312901,0.401235633354179,0.980145064075878
"FITM2",412.120354204679,0.107160196397721,0.220227710824814,0.486588159121194,0.626550216406529,0.996417816814076
"GTPBP3",410.01953777881,-0.28004010583839,0.300497448805338,-0.931921741604534,0.351376970682665,0.970127082524372
"RPL26L1",396.298928229909,-0.199210047356439,0.317824763983151,-0.626792087752481,0.530795530672119,0.99040814367672
"NKAPD1",406.137989377261,0.246579935886276,0.370929343616348,0.66476254879774,0.506202380136802,0.99040814367672
"NAPEPLD",415.299758472587,0.00629113468306331,0.279267362757069,0.0225272821748809,0.982027349490782,0.99963367653773
"LRWD1",417.550598197781,0.498508898505807,0.231089638534893,2.15721008378546,0.0309892991314246,0.722213311599627
"CYRIB",406.386099227051,0.0310513652487226,0.316376720395171,0.0981468080519256,0.921815719467845,0.997536037550879
"MICOS10",409.695349685409,0.245246866294482,0.216666490252171,1.13190953529107,0.257672469449104,0.944290504589861
